Hybridization REF	GSM115896	GSM115897	GSM115898	GSM115899	GSM115900	GSM115901
Affymetrix:CompositeSequence:Mouse430A_2:1415747_s_at	0.00415	0.00415	0.00415	0.000244	0.00415	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415748_a_at	0.008057	0.018555	0.056152	0.013184	0.046143	0.01416
Affymetrix:CompositeSequence:Mouse430A_2:1415749_a_at	0.023926	0.010742	0.171387	0.000244	0.095215	0.00415
Affymetrix:CompositeSequence:Mouse430A_2:1415750_at	0.149658	0.067627	0.753906	0.72583	0.665527	0.533936
Affymetrix:CompositeSequence:Mouse430A_2:1415751_at	0.000732	0.000244	0.056152	0.008057	0.19458	0.037598
Affymetrix:CompositeSequence:Mouse430A_2:1415752_at	0.01416	0.246094	0.246094	0.005859	0.19458	0.018555
Affymetrix:CompositeSequence:Mouse430A_2:1415753_at	0.018311	0.030273	0.326416	0.018555	0.969727	0.056152
Affymetrix:CompositeSequence:Mouse430A_2:1415754_at	0.008057	0.008057	0.037598	0.008057	0.005859	0.003662
Affymetrix:CompositeSequence:Mouse430A_2:1415755_a_at	0.046143	0.398926	0.366211	0.27417	0.067627	0.567627
Affymetrix:CompositeSequence:Mouse430A_2:1415756_a_at	0.01416	0.023926	0.005859	0.067627	0.633789	0.432373
Affymetrix:CompositeSequence:Mouse430A_2:1415757_at	0.845215	0.865234	0.633789	0.904785	0.72583	0.901123
Affymetrix:CompositeSequence:Mouse430A_2:1415758_at	0.000732	0.000244	0.000732	0.000244	0.000244	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:1415759_a_at	0.000244	0.005859	0.056152	0.000732	0.037598	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415760_s_at	0.19458	0.023926	0.030273	0.037598	0.129639	0.326416
Affymetrix:CompositeSequence:Mouse430A_2:1415761_at	0.018555	0.023926	0.366211	0.129639	0.5	0.018555
Affymetrix:CompositeSequence:Mouse430A_2:1415762_x_at	0.00415	0.018555	0.037598	0.01416	0.080566	0.008057
Affymetrix:CompositeSequence:Mouse430A_2:1415763_a_at	0.000244	0.000244	0.000244	0.00293	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415764_at	0.001953	0.000244	0.000244	0.000732	0.001953	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415765_at	0.030273	0.008057	0.091553	0.111572	0.19458	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415766_at	0.246094	0.625488	0.111572	0.095215	0.149658	0.432373
Affymetrix:CompositeSequence:Mouse430A_2:1415767_at	0.000732	0.000732	0.01416	0.005615	0.106934	0.037598
Affymetrix:CompositeSequence:Mouse430A_2:1415768_a_at	0.129639	0.018555	0.005859	0.111572	0.19458	0.001221
Affymetrix:CompositeSequence:Mouse430A_2:1415769_at	0.008057	0.008057	0.030273	0.001953	0.095215	0.001221
Affymetrix:CompositeSequence:Mouse430A_2:1415770_at	0.010742	0.171387	0.246094	0.246094	0.023926	0.171387
Affymetrix:CompositeSequence:Mouse430A_2:1415771_at	0.000244	0.000244	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415772_at	0.01416	0.010742	0.212891	0.010742	0.013184	0.008057
Affymetrix:CompositeSequence:Mouse430A_2:1415773_at	0.001221	0.000244	0.005859	0.000244	0.046143	0.056152
Affymetrix:CompositeSequence:Mouse430A_2:1415774_at	0.246094	0.239258	0.334473	0.171387	0.696289	0.780518
Affymetrix:CompositeSequence:Mouse430A_2:1415775_at	0.000244	0.000244	0.000732	0.000732	0.00293	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415776_at	0.72583	0.246094	0.366211	0.303711	0.888428	0.398926
Affymetrix:CompositeSequence:Mouse430A_2:1415777_at	0.780518	0.932373	0.98584	0.567627	0.99585	0.533936
Affymetrix:CompositeSequence:Mouse430A_2:1415778_at	0.00293	0.149658	0.303711	0.567627	0.366211	0.018555
Affymetrix:CompositeSequence:Mouse430A_2:1415779_s_at	0.000244	0.000244	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415780_a_at	0.00293	0.107178	0.98584	0.067627	0.080566	0.246094
Affymetrix:CompositeSequence:Mouse430A_2:1415781_a_at	0.000244	0.000732	0.00415	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415782_at	0.000244	0.000732	0.000244	0.000244	0.00415	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415783_at	0.000244	0.000244	0.00293	0.001953	0.005859	0.001953
Affymetrix:CompositeSequence:Mouse430A_2:1415784_at	0.296631	0.432373	0.798584	0.334473	0.533936	0.246094
Affymetrix:CompositeSequence:Mouse430A_2:1415785_a_at	0.000244	0.000732	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415786_at	0.018555	0.046143	0.010742	0.030273	0.037598	0.149658
Affymetrix:CompositeSequence:Mouse430A_2:1415787_at	0.000732	0.000732	0.023926	0.005859	0.000244	0.01416
Affymetrix:CompositeSequence:Mouse430A_2:1415788_at	0.010742	0.000244	0.056152	0.000244	0.00293	0.00293
Affymetrix:CompositeSequence:Mouse430A_2:1415789_a_at	0.219482	0.633789	0.246094	0.030273	0.665527	0.219482
Affymetrix:CompositeSequence:Mouse430A_2:1415790_at	0.633789	0.80542	0.398926	0.171387	0.037598	0.037598
Affymetrix:CompositeSequence:Mouse430A_2:1415791_at	0.010742	0.018555	0.567627	0.080566	0.129639	0.067627
Affymetrix:CompositeSequence:Mouse430A_2:1415792_at	0.008057	0.037598	0.27417	0.005859	0.366211	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:1415793_at	0.00293	0.037598	0.334473	0.067627	0.828613	0.799316
Affymetrix:CompositeSequence:Mouse430A_2:1415794_a_at	0.00293	0.001953	0.046143	0.023926	0.001221	0.00415
Affymetrix:CompositeSequence:Mouse430A_2:1415795_at	0.000244	0.018555	0.000732	0.037598	0.129639	0.005859
Affymetrix:CompositeSequence:Mouse430A_2:1415796_at	0.00415	0.000244	0.010742	0.01416	0.01416	0.008057
Affymetrix:CompositeSequence:Mouse430A_2:1415797_at	0.366211	0.932373	0.296631	0.80542	0.626465	0.19458
Affymetrix:CompositeSequence:Mouse430A_2:1415798_at	0.334473	0.567627	0.850342	0.665527	0.334473	0.432373
Affymetrix:CompositeSequence:Mouse430A_2:1415799_at	0.008057	0.000732	0.037598	0.018555	0.398926	0.064941
Affymetrix:CompositeSequence:Mouse430A_2:1415800_at	0.904785	0.865234	0.334473	0.129639	0.491699	0.943848
Affymetrix:CompositeSequence:Mouse430A_2:1415801_at	0.095215	0.023926	0.067627	0.334473	0.466064	0.334473
Affymetrix:CompositeSequence:Mouse430A_2:1415802_at	0.001221	0.053467	0.171387	0.303711	0.056152	0.567871
Affymetrix:CompositeSequence:Mouse430A_2:1415803_at	0.994141	0.919434	0.953857	0.904785	0.919434	0.969727
Affymetrix:CompositeSequence:Mouse430A_2:1415804_at	0.753906	0.72583	0.85083	0.601074	0.5	0.753906
Affymetrix:CompositeSequence:Mouse430A_2:1415805_at	0.219482	0.696289	0.870361	0.27417	0.901123	0.533936
Affymetrix:CompositeSequence:Mouse430A_2:1415806_at	0.633789	0.951172	0.149658	0.366211	0.525391	0.533936
Affymetrix:CompositeSequence:Mouse430A_2:1415807_s_at	0.046143	0.080566	0.149658	0.149658	0.466064	0.296143
Affymetrix:CompositeSequence:Mouse430A_2:1415808_at	0.111572	0.246094	0.753906	0.129639	0.111572	0.850342
Affymetrix:CompositeSequence:Mouse430A_2:1415809_at	0.625732	0.870361	0.720703	0.423828	0.74707	0.457764
Affymetrix:CompositeSequence:Mouse430A_2:1415810_at	0.559326	0.601074	0.884033	0.696289	0.888428	0.969727
Affymetrix:CompositeSequence:Mouse430A_2:1415811_at	0.111084	0.067627	0.303711	0.080566	0.888428	0.149658
Affymetrix:CompositeSequence:Mouse430A_2:1415812_at	0.567627	0.046143	0.149658	0.366211	0.165771	0.030273
Affymetrix:CompositeSequence:Mouse430A_2:1415813_at	0.000244	0.000244	0.000244	0.005859	0.000732	0.001953
Affymetrix:CompositeSequence:Mouse430A_2:1415814_at	0.00415	0.046143	0.246094	0.095215	0.067627	0.030273
Affymetrix:CompositeSequence:Mouse430A_2:1415815_at	0.888428	0.303711	0.601074	0.75415	0.334473	0.219482
Affymetrix:CompositeSequence:Mouse430A_2:1415816_at	0.000244	0.000244	0.000244	0.000244	0.001221	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415817_s_at	0.000244	0.000732	0.00415	0.001221	0.010742	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:1415818_at	0.023926	0.046143	0.696289	0.633789	0.149658	0.19458
Affymetrix:CompositeSequence:Mouse430A_2:1415819_a_at	0.000244	0.013184	0.005859	0.000732	0.010742	0.000244
