Hybridization REF	GSM115896	GSM115897	GSM115898	GSM115899	GSM115900	GSM115901
Affymetrix:CompositeSequence:Mouse430A_2:1415712_at	4252.3	2101.9	4325.5	2742	8464.4	4242
Affymetrix:CompositeSequence:Mouse430A_2:1415713_a_at	3351	6204.8	11866.1	6220.7	9958.1	7769
Affymetrix:CompositeSequence:Mouse430A_2:1415714_a_at	1288.4	1150.4	1644.4	1097.4	3797.1	2878
Affymetrix:CompositeSequence:Mouse430A_2:1415715_at	5527.2	2478.6	5354.8	1717.3	620.3	3487.7
Affymetrix:CompositeSequence:Mouse430A_2:1415716_a_at	289166.8	393221.2	281313.8	181521.5	217901.7	230250.5
Affymetrix:CompositeSequence:Mouse430A_2:1415717_at	1651.3	1444.1	728.2	1362.8	682.2	984.1
Affymetrix:CompositeSequence:Mouse430A_2:1415718_at	4973.9	11435.8	4332.7	4158.1	4407.9	2045.8
Affymetrix:CompositeSequence:Mouse430A_2:1415719_s_at	1155.6	2095.7	1893.4	965.7	2768.7	1256.8
Affymetrix:CompositeSequence:Mouse430A_2:1415720_s_at	2683.2	1636.8	2429	2172.6	7222.2	3464.2
Affymetrix:CompositeSequence:Mouse430A_2:1415721_a_at	3189.6	3013.3	4645.4	3989.3	4299.2	2376.3
Affymetrix:CompositeSequence:Mouse430A_2:1415722_a_at	14653.2	25804.7	8913.7	11479.5	12824.1	16845.3
Affymetrix:CompositeSequence:Mouse430A_2:1415723_at	16285	18689.3	14403.7	25751.8	13250.9	23690.6
Affymetrix:CompositeSequence:Mouse430A_2:1415724_a_at	10997	8284.8	3312	11935.9	9746.4	7227.7
Affymetrix:CompositeSequence:Mouse430A_2:1415725_at	3453.9	2675.4	3007	3275.2	3873	2000.3
Affymetrix:CompositeSequence:Mouse430A_2:1415726_at	3210	4313.7	1890.7	1908.2	5461.6	1868.4
Affymetrix:CompositeSequence:Mouse430A_2:1415727_at	6549.5	2620	2684.1	5415.1	13623.6	6306.6
Affymetrix:CompositeSequence:Mouse430A_2:1415728_at	1349	2619.5	1762.5	88.1	2585.9	1332.4
Affymetrix:CompositeSequence:Mouse430A_2:1415729_at	2873.7	6634.8	4148	4493.3	5614.3	2252.8
Affymetrix:CompositeSequence:Mouse430A_2:1415730_at	22513.3	31134.5	13605.4	19471.9	15460	22356.9
Affymetrix:CompositeSequence:Mouse430A_2:1415731_at	4367.6	1579	1744.1	2187.1	2977.9	1526.3
Affymetrix:CompositeSequence:Mouse430A_2:1415732_at	2655.8	1462.6	2053.7	4543.9	2993.5	1520
Affymetrix:CompositeSequence:Mouse430A_2:1415733_a_at	3908.2	3763	2497.4	3613.3	5418	4506.5
Affymetrix:CompositeSequence:Mouse430A_2:1415734_at	5951	6244.6	2291	5800.5	1739.9	4728.4
Affymetrix:CompositeSequence:Mouse430A_2:1415735_at	1811.7	6508.4	1637.5	3595.9	3870.8	4275.6
Affymetrix:CompositeSequence:Mouse430A_2:1415736_at	17192.5	15638.9	12744	12373.2	16046.6	9667.9
Affymetrix:CompositeSequence:Mouse430A_2:1415737_at	1477.1	2382.4	2591.4	1932.1	1061	2548.1
Affymetrix:CompositeSequence:Mouse430A_2:1415738_at	125.7	315.7	477.7	732.9	1064.5	2688.6
Affymetrix:CompositeSequence:Mouse430A_2:1415739_at	2276.4	3243.6	2719.4	5169	3694.6	3689.9
Affymetrix:CompositeSequence:Mouse430A_2:1415740_at	7733.4	6486.1	6248.1	2825.6	9736.5	5170.7
Affymetrix:CompositeSequence:Mouse430A_2:1415741_at	6558.2	4495.5	6484.1	2583.8	3937.3	6241.3
Affymetrix:CompositeSequence:Mouse430A_2:1415742_at	8475.7	10367.7	19897.1	11531.4	14651.2	11872.5
Affymetrix:CompositeSequence:Mouse430A_2:1415743_at	3516.2	4193.2	2411.6	3021.8	9932.5	2918.6
Affymetrix:CompositeSequence:Mouse430A_2:1415744_at	3653	4540	6479.6	3179	7555.3	2389.4
Affymetrix:CompositeSequence:Mouse430A_2:1415745_a_at	7045.1	4087.1	2796.4	3686.7	3646.6	11459.7
Affymetrix:CompositeSequence:Mouse430A_2:1415746_at	44.4	2162.4	200.7	1160.3	3883.3	58.7
Affymetrix:CompositeSequence:Mouse430A_2:1415747_s_at	9147.2	17926.4	11299.5	8421.8	17750	24396.4
Affymetrix:CompositeSequence:Mouse430A_2:1415748_a_at	2833.3	8668	5145.2	2733.7	5395.4	3074.7
Affymetrix:CompositeSequence:Mouse430A_2:1415749_a_at	3784.5	6783.7	5941.7	7094	3131.1	6221.2
Affymetrix:CompositeSequence:Mouse430A_2:1415750_at	1262.7	1834.3	273.8	277.1	99.8	172.5
Affymetrix:CompositeSequence:Mouse430A_2:1415751_at	8405.6	5169.3	4061.3	4992.2	2008.8	2710.3
Affymetrix:CompositeSequence:Mouse430A_2:1415752_at	3684.1	1568.1	3720.5	7546.4	1467.4	4401
Affymetrix:CompositeSequence:Mouse430A_2:1415753_at	1523.7	2436	235.9	1534.4	36.5	1265.4
Affymetrix:CompositeSequence:Mouse430A_2:1415754_at	4046	4510.7	6096.3	6458.8	6171.4	4613.6
Affymetrix:CompositeSequence:Mouse430A_2:1415755_a_at	2814	943.6	1533.7	1810.8	3728.7	771.6
Affymetrix:CompositeSequence:Mouse430A_2:1415756_a_at	2083.8	1564.8	4866.6	2677.2	309.7	481.3
Affymetrix:CompositeSequence:Mouse430A_2:1415757_at	69.1	73.4	626.9	97.4	235.2	120.2
Affymetrix:CompositeSequence:Mouse430A_2:1415758_at	10319.2	12209.4	16016.9	6941.1	11402.2	7152.6
Affymetrix:CompositeSequence:Mouse430A_2:1415759_a_at	8734.6	6642.1	7460.5	6304.2	7192.4	6902.7
Affymetrix:CompositeSequence:Mouse430A_2:1415760_s_at	2502.6	3827.3	3534.4	3798.2	3125.6	1631
Affymetrix:CompositeSequence:Mouse430A_2:1415761_at	5232.1	4552.5	2321.9	1112.6	1290.2	3719.2
Affymetrix:CompositeSequence:Mouse430A_2:1415762_x_at	9885.1	8663.2	10045.9	6347.9	6343	6806.2
Affymetrix:CompositeSequence:Mouse430A_2:1415763_a_at	21630.2	30450	18425.4	11504.4	12024.5	21910.7
Affymetrix:CompositeSequence:Mouse430A_2:1415764_at	17481.7	28896.4	10336.5	22685	11733	25830.2
Affymetrix:CompositeSequence:Mouse430A_2:1415765_at	3333.8	2809.6	4734.8	5090.2	2687.2	3992.6
Affymetrix:CompositeSequence:Mouse430A_2:1415766_at	1244	467	2621.2	1984.2	3053.9	712.2
Affymetrix:CompositeSequence:Mouse430A_2:1415767_at	6108	1932.4	2782.9	3043	1551.5	1819.1
Affymetrix:CompositeSequence:Mouse430A_2:1415768_a_at	1433.7	2361.2	3838.5	2602.3	3968.6	5048.6
Affymetrix:CompositeSequence:Mouse430A_2:1415769_at	1801.7	5232	4171.9	5077	1573.4	5586
Affymetrix:CompositeSequence:Mouse430A_2:1415770_at	3870.8	648.4	1446.1	742.1	3645.8	2198.5
Affymetrix:CompositeSequence:Mouse430A_2:1415771_at	47711	83737.3	56772.5	54460.9	31427.7	20050.2
Affymetrix:CompositeSequence:Mouse430A_2:1415772_at	2511.1	2522.5	5241.4	2999.5	3596.2	4383.3
Affymetrix:CompositeSequence:Mouse430A_2:1415773_at	5880.2	3966.2	4982.1	9668.3	2910.7	2973.5
Affymetrix:CompositeSequence:Mouse430A_2:1415774_at	4879.9	3156.7	7874.8	12512.7	1307.5	550.4
Affymetrix:CompositeSequence:Mouse430A_2:1415775_at	23176.9	19680.8	21685.2	18591	13025	26938.5
Affymetrix:CompositeSequence:Mouse430A_2:1415776_at	822.8	4123.8	1015.2	5599.5	665.8	3295.8
Affymetrix:CompositeSequence:Mouse430A_2:1415777_at	219.4	71	164.1	1148	103.9	750.7
Affymetrix:CompositeSequence:Mouse430A_2:1415778_at	3501	2660.8	2436.7	208.2	1919.7	3707.3
Affymetrix:CompositeSequence:Mouse430A_2:1415779_s_at	129113.9	142864.3	87249.9	125069.3	109634.4	110157.7
Affymetrix:CompositeSequence:Mouse430A_2:1415780_a_at	1009	404.4	35.9	3335.4	1607.8	1200.7
Affymetrix:CompositeSequence:Mouse430A_2:1415781_a_at	8317	10556.7	6190	5905.1	5866.5	9651.9
Affymetrix:CompositeSequence:Mouse430A_2:1415782_at	20017	20097.2	19896.8	13663.1	13226.4	18918.3
Affymetrix:CompositeSequence:Mouse430A_2:1415783_at	8521	3546	8867.4	5074.8	8926.2	4005.9
Affymetrix:CompositeSequence:Mouse430A_2:1415784_at	607.5	545.4	386.5	71.1	207.8	886.9
